,price,total_square,floor
172,10195464,36.0,15
173,120857100,116.5,12
174,14500000,53.0,4
175,11600000,38.0,9
176,89995000,106.0,6
177,44900000,131.3,4
178,56012171,108.9,42
179,7000000,40.0,5
180,14700000,43.0,19
182,17093468,40.64,7
183,13750000,44.6,1
184,37157500,83.5,3
185,17100000,56.0,14
186,11799000,45.4,5
188,6950000,30.9,14
189,49000000,95.0,18
190,18845624,35.1,20
191,21999000,85.0,4
192,11646180,36.4,16
193,35000000,98.0,8
194,26618127,80.83,26
195,24227325,65.25,43
196,10999999,31.5,3
197,19200000,79.2,3
198,13500000,63.4,2
199,14979800,62.0,9
200,18838804,64.0,5
201,23300000,56.2,7
202,26947528,50.0,13
203,11173658,40.6,10
204,9850000,76.0,13
205,6000000,42.0,2
206,14450000,42.0,4
207,10250000,25.8,3
208,14950000,34.7,32
209,64125027,84.7,22
210,9600000,76.4,15
211,39999999,76.0,4
212,26000000,72.9,2
214,22000000,51.0,13
215,48232400,117.64,20
216,39000000,84.0,32
217,12800000,70.0,8
218,5200000,29.1,1
219,21000000,105.0,15
221,75000000,100.0,30
223,20244900,58.0,29
224,8711645,72.51,12
226,11689742,45.8,25
227,15970240,38.39,20
228,67499999,112.0,5
229,11200000,45.0,8
230,8553702,24.0,23
231,65000000,141.7,3
233,9590000,56.0,7
235,16499000,51.7,11
236,49473264,97.0,10
237,8100000,44.0,14
239,8000000,54.4,17
240,12000000,64.0,21
241,13500000,44.3,8
242,7500000,44.0,3
243,8650000,50.0,5
244,6900000,35.4,10
245,18688892,45.0,3
246,8200000,55.0,3
247,97476995,92.7,3
248,10900000,55.0,7
249,14700000,55.0,2
250,12503895,50.84,9
251,18770000,35.29,23
252,7871621,29.2,4
253,16630480,37.6,7
255,13000000,43.3,19
257,31500000,84.0,13
259,11990000,39.0,23
260,29800000,72.0,10
261,11500000,80.0,14
262,10807314,41.0,4
263,30807000,94.5,16
264,27450000,46.0,5
265,15800000,58.5,15
266,27786732,61.0,7
267,16448947,64.0,7
268,13032732,56.68,17
269,33500000,78.0,3
270,9300000,38.8,5
271,5900000,32.3,2
272,7919590,62.8,16
275,10995000,38.6,3
276,22500000,115.3,2
277,8700000,37.8,7
278,16666650,46.8,7
279,5450000,45.2,4
280,18800000,54.0,16
281,14736885,56.49,33
282,14300000,54.0,2
283,12000000,36.4,9
284,9600000,44.8,1
285,13576974,52.0,9
286,6310054,42.16,15
287,35315806,81.1,2
288,19000000,66.1,15
289,20600000,101.9,17
290,12762140,55.5,25
291,24100000,72.0,5
292,18000000,63.5,7
293,22650000,50.0,9
294,11499000,40.0,11
295,12353041,37.2,17
296,22000000,131.0,13
297,9500000,36.0,18
298,25500000,75.6,3
299,9900000,74.5,3
300,9365544,44.7,3
301,57473999,101.2,13
302,9329717,24.0,22
303,36000000,133.4,3
304,8500000,53.0,6
305,8700000,41.6,10
306,38000000,81.0,12
307,7500000,58.0,6
309,12000000,44.4,9
310,33100000,80.9,8
311,17850000,53.9,10
312,14314830,37.9,37
313,10350000,51.4,10
314,11800000,36.2,2
315,8617137,23.9,12
316,60119000,79.0,15
317,32000000,92.0,18
318,7988437,23.6,9
319,9350000,49.0,9
320,12550000,44.5,3
321,15200000,41.4,18
322,10700000,39.0,10
323,12568248,55.0,10
324,10384300,42.0,14
325,10890000,80.0,18
326,38028477,47.6,37
328,14601001,67.8,6
329,17100000,54.4,11
331,7200000,32.3,6
332,16401600,80.4,4
333,28856100,63.7,30
334,13750000,56.9,2
335,6999999,41.0,2
336,18392100,60.7,9
337,57049920,130.0,42
338,20900000,40.0,4
339,9300000,55.5,4
340,12800000,38.0,19
341,8743128,35.0,15
342,9000000,54.0,13
344,6400000,35.0,9
345,12387507,42.0,2
346,8650000,63.0,4
347,33455445,47.9,17
348,17500000,40.0,40
350,15900000,60.0,7
351,12800000,58.1,22
352,32000000,62.0,18
353,13000000,68.0,4
354,8802680,35.9,10
355,12328420,32.5,15
356,14180000,51.1,5
358,6299000,38.0,6
359,10700000,62.0,7
360,24924000,67.0,19
361,22500000,59.0,8
362,21900000,74.0,2
363,7300000,40.3,1
364,11000000,62.0,14
365,11746790,25.0,19
366,32800000,103.5,3
367,11000000,30.4,2
368,14213880,87.74,16
369,26300000,78.4,8
370,26672380,63.4,38
371,9500000,44.0,8
372,29748862,55.9,25
373,29700000,43.5,2
375,14000000,76.0,22
376,10500000,60.0,3
377,18569050,55.43,26
378,6100000,35.7,12
379,17900000,38.0,16
380,36698524,77.0,10
381,31800000,83.0,16
382,8200000,55.0,13
383,92000000,95.0,5
384,14086000,50.8,7
386,61899000,114.0,3
387,13000000,36.3,7
388,75000000,150.8,5
389,10700000,24.6,5
390,13196700,39.0,25
391,15992158,58.9,5
392,19500000,71.0,4
393,13026200,38.0,26
394,11250000,47.0,2
395,15279672,56.84,11
396,13500000,39.0,6
397,7990000,42.3,5
398,22800000,76.0,13
400,10700000,50.1,1
401,10800000,32.6,18
402,44239084,83.0,9
403,33000000,67.0,3
404,6300000,32.9,8
405,78700000,138.0,30
406,9459810,27.0,4
407,12800000,62.5,11
409,8600000,35.0,1
410,11700000,34.0,8
411,12500000,58.1,6
412,16700000,65.0,10
413,29113740,90.21,8
414,12200000,44.9,2
415,27500000,51.0,14
417,17950000,41.0,26
418,28171100,41.01,20
419,124988377,133.55,4
420,17600000,100.6,14
421,26359667,68.81,27
422,5800000,30.3,5
425,15200000,75.0,6
426,26851720,47.0,42
427,8250000,25.2,14
428,35207893,66.5,3
429,18306120,39.9,22
430,33258280,75.7,5
431,7500000,34.0,15
432,5500000,36.0,2
433,10181393,33.15,20
435,6600000,33.0,6
436,28700000,68.0,2
437,5650000,30.4,4
438,12990000,60.0,7
439,10000000,42.2,3
441,36499000,67.8,2
442,13000000,52.4,2
443,21699000,60.0,11
445,24099600,76.0,6
447,43514580,68.7,13
449,20560000,43.35,17
450,12200000,44.6,3
452,18500000,41.1,9
454,6950000,48.0,5
455,17439368,69.0,20
456,32461200,71.0,2
457,15007420,43.0,9
458,24500000,94.7,5
459,10000000,29.6,2
460,14795211,62.0,14
461,9759506,40.2,7
462,72600000,132.4,15
463,5700000,33.7,1
464,11010092,35.9,21
465,10000000,63.74,4
466,11599971,36.01,23
467,15500000,89.6,10
468,28000000,43.0,4
469,14000000,69.5,17
470,32500000,73.0,10
471,16500000,57.0,2
472,14538982,49.0,13
473,7990000,53.5,1
474,104400000,93.0,12
475,23909600,76.0,4
476,21610808,98.5,13
477,5600000,46.0,4
478,26991402,93.13,7
479,9200000,38.0,34
480,35988969,61.1,7
481,18900000,104.8,10
482,5400000,34.86,5
483,14633448,61.4,13
484,7490000,38.0,17
485,12219820,59.4,10
487,17500000,47.2,4
488,17311902,69.5,4
489,15000000,77.6,8
490,12000000,60.5,6
491,17015077,44.73,2
492,42000000,113.0,6
494,30450000,94.0,6
495,15900000,91.41,11
496,19322707,65.96,5
497,23500000,62.0,5
498,9587970,39.9,9
500,12009480,34.0,6
502,15700000,64.0,13
504,104333916,153.6,22
505,19983320,41.0,5
506,14700000,49.17,3
507,12700000,44.1,2
508,13150000,35.4,14
509,18734235,57.3,13
511,31000000,78.3,11
512,12500000,68.5,13
513,47133964,77.7,38
514,7300000,43.0,12
516,7411510,37.3,5
517,10800000,42.0,8
518,28515994,59.7,14
519,15099999,55.6,5
521,12500000,70.4,18
522,14812720,42.0,22
523,34035976,98.0,13
524,13900000,64.0,9
525,11500000,31.0,2
527,29000000,94.5,8
528,16500000,50.0,3
529,13921600,45.2,19
530,11990000,59.0,6
531,11687380,31.1,24
533,14300000,57.2,20
534,30500000,106.0,11
535,41671820,73.0,7
536,16786440,47.1,6
537,21142336,73.6,12
538,13056825,36.0,21
539,70000000,126.0,10
540,28000000,95.0,3
542,20500000,41.0,12
543,9500000,37.0,12
544,45000000,133.2,4
545,10300000,33.3,12
547,29830000,58.4,26
548,8700000,32.3,22
550,21100000,45.0,13
551,17388224,74.6,5
552,6700000,29.0,15
553,33500000,75.0,21
554,7499000,46.8,2
555,13808860,30.7,20
556,20800000,75.1,1
557,33500000,66.5,19
558,9800000,35.0,3
559,10608260,86.3,5
560,36324320,87.0,26
562,31128816,85.92,32
564,17237810,50.3,26
565,15704640,46.0,12
566,105520177,117.6,14
567,13800000,57.0,2
568,5500000,31.5,6
569,16127618,75.0,9
570,6550000,37.3,21
571,16963500,78.9,15
572,9693111,61.31,22
574,8426018,54.13,17
575,6310054,42.16,12
576,10244958,57.7,2
577,16823556,65.0,16
578,10049559,34.0,2
580,12923097,61.4,3
581,9500000,45.7,14
582,18950000,76.6,2
584,9857040,61.3,19
585,11736900,48.3,5
586,32500000,120.0,2
587,75000000,100.0,11
588,10500000,43.7,2
590,16798000,52.3,17
591,13185600,49.0,2
592,15084248,56.56,9
593,19600000,66.7,8
594,23700000,57.2,10
595,21500000,82.0,8
596,56000000,147.0,14
597,12990000,94.0,4
599,35000000,67.5,10
600,12889730,41.3,14
601,16700000,60.0,1
602,6218244,37.12,18
603,6350000,39.0,2
604,13400000,52.0,3
605,23700000,62.0,5
606,13700000,52.0,11
607,33535500,84.9,2
608,8000000,48.1,4
609,60900000,100.0,5
610,15100000,50.4,11
611,17900000,58.0,5
612,10700000,35.0,11
613,16200000,84.0,10
614,47000000,107.6,5
615,24500000,79.5,6
616,19300000,59.7,3
617,18190000,37.84,3
618,8800000,27.7,10
619,19500000,94.0,15
620,10500000,62.0,8
621,84900000,90.0,5
622,9124200,27.0,10
623,7500000,54.0,14
624,6876221,35.48,21
625,29683311,81.11,5
626,7200000,30.4,7
628,16233126,59.9,6
629,11500000,36.9,2
630,9500000,37.8,1
631,45000000,55.0,16
632,7150000,52.0,4
633,15300000,61.7,7
634,5300000,43.0,5
635,11000000,37.0,18
636,23000000,81.0,9
637,14300000,37.1,8
638,12500000,46.6,9
639,10400000,45.6,5
640,26422634,103.1,2
641,16900000,110.6,11
642,10321020,28.0,19
643,18350000,63.3,11
644,18406563,40.76,44
645,20451051,40.4,9
646,22800000,68.3,11
647,48044052,98.0,25
648,8000000,49.1,16
649,13900000,44.4,6
650,6500000,52.0,4
651,9200000,36.5,4
652,12750000,81.1,12
653,13490000,80.6,21
654,15000000,44.7,16
655,20000000,82.0,4
656,8700000,39.0,12
657,19080392,41.0,52
658,37232540,82.01,49
659,5100000,23.9,10
661,24800000,59.0,9
662,15000000,58.4,8
663,47000000,127.0,4
666,54969416,108.3,15
667,7915800,27.6,9
668,21790000,37.0,24
669,42700000,61.0,7
671,7900000,42.0,20
672,15650000,74.95,3
673,16000000,75.8,10
674,6400000,34.1,4
675,66800000,99.4,3
676,5500000,28.0,5
677,18994500,40.0,27
678,16289299,40.0,25
679,13490000,40.5,2
680,11499000,44.5,7
681,13750000,70.3,6
682,18280340,79.41,31
683,120680000,126.36,28
684,5500000,33.4,11
685,12990000,40.0,14
686,14000000,40.0,17
687,33000000,68.0,9
688,28000000,75.0,15
691,19913300,47.0,23
692,10000000,46.7,3
693,26000276,105.0,11
694,40000000,100.0,2
696,19500000,89.5,1
697,18200000,55.0,12
698,27132400,47.0,45
699,13200000,73.0,13
700,25900000,69.0,26
701,13777000,60.0,3
702,65000000,120.0,3
703,26460000,68.27,26
704,15000000,39.8,3
705,13000000,50.4,1
706,23463936,64.0,30
707,41055836,68.0,10
708,19500000,72.9,5
709,11800000,63.6,8
710,43095092,98.4,8
711,10900000,44.9,10
712,9100000,52.0,4
713,12700000,55.8,9
714,21600000,64.0,20
715,32000000,50.0,17
716,21353655,55.8,22
717,25000000,57.0,7
719,16080000,53.6,13
720,9000000,59.0,11
721,6590000,34.5,16
722,14200000,53.5,6
723,8300000,52.0,2
724,12500000,30.6,2
725,14735226,62.99,18
727,13000000,60.0,5
728,35000000,91.0,2
729,10200000,38.6,17
730,20000000,45.3,3
731,26310182,65.24,19
732,51724700,98.9,19
733,22500000,77.7,7
734,17000000,52.1,13
735,41055837,68.3,10
736,16995900,89.0,24
737,13800000,54.0,8
738,16000000,63.9,3
739,11076329,65.3,6
740,11000000,44.5,2
741,10723386,42.0,2
743,12500000,38.5,4
744,64065484,116.0,16
745,18722000,81.0,10
746,5990000,41.1,10
747,16500000,62.9,14
748,10859000,64.6,10
749,15088908,40.1,3
750,18000000,107.0,17
751,11800000,47.6,9
752,33208200,87.39,5
753,12700000,41.2,16
754,6300000,42.3,5
755,14733252,77.52,9
756,11312542,44.6,4
757,11500000,40.5,5
758,9999999,55.0,13
759,9650000,34.9,25
760,25059440,67.0,33
761,6749952,26.0,15
762,22000000,90.7,5
763,98000000,112.0,2
764,22000000,65.7,4
765,33400000,70.0,9
766,10990000,42.8,3
767,6500000,37.4,3
768,24700000,68.0,5
769,12800000,45.2,3
770,9500000,58.0,10
772,10600000,50.0,3
773,41990000,74.0,7
774,26500000,84.7,4
775,14600000,41.0,5
776,7350000,47.0,14
777,29800000,70.0,12
778,13400000,66.1,12
780,28000000,91.0,7
781,13000000,44.0,12
782,28350000,60.06,23
783,6800000,47.0,2
784,15200000,48.9,3
785,22000000,87.1,13
786,9200000,31.7,1
787,10121541,38.0,12
788,8800000,34.0,6
789,10600000,83.1,14
790,12600000,53.0,23
791,9800000,76.2,2
792,15946000,62.0,2
793,15800000,56.0,8
794,20000000,60.0,11
795,9900000,32.0,3
796,14000000,82.4,16
797,11700000,52.2,5
798,10500000,32.0,8
799,16800000,67.7,2
800,18500000,53.6,14
801,13200000,47.0,9
802,35490000,66.38,18
803,9290249,33.8,4
804,12121610,71.5,11
805,42500000,117.0,15
806,7350000,44.6,6
807,110000000,144.1,12
808,10200000,37.5,5
809,9450000,33.0,12
810,16500000,87.0,6
811,12900000,39.4,14
812,12500000,62.2,11
813,8200000,43.0,18
814,26000000,79.37,2
815,24500000,76.0,6
816,19000000,53.5,11
817,15800000,43.5,5
818,31500000,80.5,8
819,59990000,80.1,9
821,5200000,26.6,5
822,11550000,35.0,23
823,9850000,49.7,7
824,30868688,70.0,18
825,18134228,44.0,7
826,8650000,49.3,2
827,9800000,46.8,4
828,19990000,81.0,16
829,7200000,26.2,8
830,19850000,69.2,7
831,11250000,45.7,6
832,6399000,31.4,7
833,26871000,70.9,2
835,73420000,118.0,22
836,8300000,62.4,5
837,13700000,42.0,10
838,29109748,46.0,15
839,39050000,67.44,19
840,26000000,74.0,41
841,29990000,75.0,4
842,7300000,44.0,8
843,21500000,45.0,17
844,126000000,142.6,8
845,10150000,45.0,6
846,28300000,104.0,2
847,8800000,35.2,13
848,13100000,43.7,3
849,7250000,42.2,4
850,15570310,59.0,8
851,7500000,51.5,10
852,14000000,38.0,1
853,13900000,51.5,8
854,15450000,78.0,12
855,6500000,26.5,12
856,12500000,61.1,8
857,7800000,36.8,8
858,12826150,71.0,10
859,31347643,100.1,5
860,37500000,87.1,1
861,9500000,58.3,9
862,17943000,58.2,8
863,12000000,40.0,3
864,18000000,70.0,2
865,11500000,79.6,1
866,14600000,43.0,7
867,12000000,75.1,12
869,41990000,70.0,13
871,35990000,70.0,5
872,29000000,74.8,15
873,17559556,38.0,21
874,17830000,34.93,16
875,15000000,87.0,12
876,41727366,72.3,13
877,23900000,63.5,7
878,35150000,121.0,6
879,23990000,69.45,17
880,17990000,70.18,6
881,6800000,46.7,7
883,7999999,38.4,1
884,15000000,53.5,6
885,9033230,36.0,5
886,6188700,46.0,6
887,9351379,29.5,8
888,23500000,56.0,5
889,12599000,45.0,7
890,23000000,57.0,7
891,21650000,57.1,2
892,15300000,62.0,2
893,10300000,37.8,2
894,6200000,38.0,7
895,8550000,30.5,2
896,9500000,51.0,13
897,24540653,45.5,25
898,15108700,64.0,12
900,31000000,88.0,24
901,17939716,35.0,37
902,15481000,56.5,5
903,8000000,36.2,8
904,15543228,37.34,11
905,39800000,81.8,4
906,19712900,62.0,24
907,15700000,58.1,7
908,21047760,55.2,4
909,40456912,84.0,48
910,13150000,42.3,3
911,25248960,79.2,18
912,13700000,45.4,5
913,11531468,51.2,30
914,19900000,95.0,7
915,23160780,66.9,2
916,17800000,65.0,2
917,39490000,87.7,22
918,17227719,58.9,3
919,22500000,66.2,15
920,9381776,29.5,10
921,12500000,36.5,6
922,34000000,100.0,4
923,15500000,84.8,11
924,9700000,42.6,15
925,13650000,63.5,6
926,10000000,31.4,22
927,41297200,96.04,30
928,65000000,129.0,4
929,39900000,113.6,3
930,41500000,50.0,2
931,9000000,58.4,12
932,8500000,41.0,15
933,6100000,49.0,5
934,5100000,37.9,3
935,15500000,58.8,24
936,11100000,40.0,17
938,17800000,75.0,15
939,21000000,111.3,16
940,16500000,60.0,6
941,55000000,105.0,2
942,6999719,25.12,3
943,119000000,123.3,5
944,31100360,76.04,4
945,36000000,62.7,9
946,6500000,37.0,9
947,62699543,111.86,13
948,26456722,103.6,5
949,11438448,41.3,3
950,6591874,26.0,3
951,28490000,39.1,7
952,16500000,61.2,1
953,14464250,58.6,28
954,36232855,72.47,11
955,38028476,47.6,37
956,6985187,28.0,4
957,49900000,132.0,14
958,18900000,50.0,4
959,17500000,65.2,13
960,11000000,41.7,3
961,13500000,60.0,8
962,9500000,42.0,4
963,8200000,44.0,13
964,13530548,49.92,24
965,22800000,61.6,1
966,69000000,144.1,53
967,6600000,32.5,14
968,31999000,81.0,4
969,12755259,63.4,7
970,18300000,60.5,2
971,8300000,29.0,13
972,17900000,46.0,10
973,13990000,52.2,6
974,5500000,30.9,2
975,10500000,51.2,5
976,14000000,33.3,5
977,9600000,41.4,11
978,12300000,66.0,11
979,74116000,78.9,4
980,31950000,71.0,4
981,46084000,80.0,6
982,50940000,84.9,14
983,5650000,30.2,3
984,27681693,76.9,16
985,45151000,90.0,3
986,18990000,58.3,11
987,9500000,53.0,7
988,13900000,57.2,13
989,5300000,38.9,1
990,11900000,51.0,6
991,9800000,51.4,1
992,29500000,78.0,4
993,18000000,43.0,19
994,8880000,51.3,5
995,119000000,119.5,3
996,11000000,50.6,8
997,44823780,111.78,12
998,13400000,68.5,12
999,21800000,60.0,7
1000,13350000,40.7,13
1001,5900000,45.0,2
1002,9200000,39.0,2
1003,33500000,75.4,19
1004,49308114,86.5,34
1005,22054335,98.5,14
1006,38060000,72.0,17
1007,9200000,26.0,4
1008,16500000,53.7,12
1009,6350000,35.0,16
1010,11005434,40.0,13
1012,15265796,64.5,15
1013,24500000,64.8,1
1014,6990000,44.2,6
1015,13500000,58.0,8
1016,40714980,111.0,4
1018,60000000,105.0,9
1019,16985889,61.4,13
1020,32346750,73.0,11
1021,13200000,64.3,7
1022,16635727,45.99,5
1023,15189881,87.4,23
1024,38759350,92.51,11
1025,18000000,81.6,3
1026,18698805,57.9,5
1027,12000000,40.0,3
1028,10100000,35.4,1
1029,48581841,110.69,18
1030,34000000,103.92,9
1031,66866338,132.43,14
1032,12950000,64.9,3
1033,16675095,55.4,10
1034,37839652,65.0,37
1035,19900000,56.6,13
1036,30000000,64.6,4
1037,13000000,42.0,4
1038,22600000,60.2,5
1039,11800000,64.0,5
1040,9300000,40.9,6
1041,13500000,58.5,6
1042,18630000,37.0,14
1043,9200000,44.2,7
1044,12746446,38.0,8
1045,24022380,36.4,12
1046,10835894,38.0,11
1047,17711564,59.0,11
1048,74812500,142.5,3
1049,8300000,53.67,2
1050,9950000,45.9,4
1051,23800000,66.0,8
1052,29917788,94.0,25
1053,17767099,52.9,24
1055,5590000,24.2,2
1056,21000000,71.0,5
1057,9600000,44.0,5
1058,26900000,76.0,10
1060,12700000,40.1,2
1061,12500000,50.9,15
1062,6900000,34.8,3
1063,96751360,155.0,1
1064,21200000,87.9,6
1065,10000000,51.0,1
1066,12100000,51.0,7
1067,18500000,40.0,5
1068,11000000,38.9,13
1069,28165964,74.0,26
1070,9780775,37.7,23
1071,28138500,51.0,21
1072,59700000,110.0,10
1073,19999000,75.0,6
1074,6592464,40.72,14
1075,6500000,41.0,17
1076,18055000,42.6,23
1077,14735511,55.7,4
1078,14500000,45.0,3
1079,9650000,51.6,6
1080,8400000,43.0,12
1082,16400000,43.1,7
1083,11000000,35.0,4
1084,19602000,66.0,13
1085,5300000,40.7,1
1086,13900000,50.1,4
1087,57000000,62.3,10
1088,19700000,57.2,4
1089,74908360,134.8,4
1090,12500000,63.0,12
1091,10500000,44.3,2
1093,17000000,55.5,2
1094,45800000,82.0,11
1096,6700000,27.0,12
1097,17800000,82.0,3
1098,15990000,68.6,3
1099,14000000,80.0,4
1100,17748000,58.0,4
1101,32000000,73.0,8
1102,13300000,57.0,7
1103,15500000,60.0,2
1104,8350000,40.1,17
1105,16100000,75.2,6
1106,49822500,102.2,18
1107,13650000,84.0,1
1108,12550000,66.6,3
1109,16401600,80.4,6
1110,8987443,29.0,11
1111,24794936,53.8,15
1112,11500000,52.0,1
1113,17500000,40.0,8
1114,48000000,109.4,4
1115,16550000,56.7,4
1116,13899391,112.1,8
1117,6300000,43.0,13
1118,32722008,76.08,20
1119,7520000,42.9,5
1120,16499000,45.3,2
1121,10900000,29.0,5
1122,24000000,65.5,16
1123,58000000,62.4,5
1124,13200000,37.0,11
1126,16684651,37.4,47
1127,11800000,35.4,4
1129,15216021,55.89,18
1130,16770000,82.9,4
1131,13500000,56.3,2
1132,7329547,25.0,6
1133,11800000,54.3,2
1134,16000000,72.2,13
1135,27850000,118.0,6
1136,27300000,81.4,3
1137,27000000,86.0,7
1138,15500000,38.0,9
1139,27550000,55.1,23
1140,17000000,55.3,2
1141,32000000,89.9,12
1142,25000000,74.0,17
1143,11915252,49.5,5
1144,18033222,49.9,32
1145,5500000,30.6,1
1146,20159536,45.0,20
1148,15900000,63.9,11
1149,11976400,38.0,9
1151,23900000,65.0,3
1152,8500000,38.0,15
1153,5586455,38.93,5
1154,15739290,74.7,8
1155,10450000,73.0,16
1156,21607934,71.0,15
1157,8770671,42.0,2
1158,33611856,99.0,13
1159,10500000,39.0,4
1160,12300000,66.0,1
1161,43363148,74.0,25
1162,45314600,98.51,45
1163,12750000,41.0,2
1164,15000000,37.9,13
1165,8300000,31.1,1
1166,7500000,24.0,3
1168,55000000,78.0,5
1169,29000000,54.0,5
1170,7600000,35.4,13
1172,8425515,28.0,12
1173,13000000,60.6,7
1174,15500000,61.2,11
1175,15300000,47.0,4
1176,17800000,56.1,7
1177,12566400,49.0,18
1178,5079624,33.07,2
1179,13000000,38.3,17
1180,17990000,41.7,15
1181,49000000,115.6,11
1182,18950000,98.4,2
1183,14800000,71.0,8
1184,25000000,47.0,6
1185,17300000,49.0,5
1186,5800000,31.5,14
1187,20120310,76.3,2
1188,28000000,62.5,3
1189,65000000,133.4,17
1190,12000000,58.0,2
1191,14300000,43.0,4
1192,17448608,41.0,16
1193,21777360,44.0,12
1194,12900000,36.0,2
1195,17500000,85.7,1
1196,34201797,53.4,13
1197,8500000,37.6,2
1198,13150000,77.2,22
1200,6300000,34.0,5
1201,14500000,111.2,7
1202,35661780,82.17,32
1203,40000000,111.7,9
1204,9782475,24.61,14
1205,7609668,35.4,8
1206,24952852,76.0,18
1207,14900000,51.0,7
1208,12850800,50.0,8
1209,11999000,43.8,13
1210,30600000,105.8,3
1211,28900000,65.0,5
1212,13000000,44.4,6
1213,8299000,43.0,5
1215,6600000,37.0,7
1216,14800000,69.0,10
1217,66000000,100.0,6
1218,9000000,45.0,11
1219,12800000,42.3,7
1220,35900000,69.0,7
1221,23000000,73.0,5
1222,20900000,92.3,15
1223,58500000,83.0,8
1224,19803289,62.8,9
1225,10654000,40.0,6
1226,14200000,62.5,14
1227,10030627,38.0,31
1229,6100000,42.1,5
1230,45416670,115.3,37
1231,14900000,80.0,6
1232,13900000,31.2,5
1233,13700000,62.5,16
1234,6250000,34.0,5
1235,17800000,38.0,14
1236,11390850,45.4,19
1237,17000000,60.0,3
1238,7500000,32.0,4
1239,14500000,58.0,3
1240,24984508,41.0,2
1241,26851720,46.78,42
1242,49800060,101.0,3
1243,14900000,59.0,7
1244,20600000,38.0,14
1245,9938691,36.0,17
1246,72142608,65.0,7
1247,8388145,30.9,8
1249,23500000,88.0,11
1250,6990000,41.0,9
